title,image_url,category,status,price,description,created_at,nickname,author_id,comments
소파 무료 나눔합니다!,/uploads/소파.jpg,나눔해요,True,0,소파에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임랩5기-03,267820,[]
신발장 나눔받고 싶어요!,/uploads/신발장.jpg,필요해요,True,33657,신발장에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임테크랩8기-01,865386,[]
책장 나눔받고 싶어요!,/uploads/책장.jpg,필요해요,True,42144,책장에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임테크랩3기-08,357741,[]
TV 무료 나눔합니다!,/uploads/TV.jpg,나눔해요,True,0,TV에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임테크랩2기-09,713179,[]
신발장 무료 나눔합니다!,/uploads/신발장.jpg,나눔해요,True,0,신발장에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임랩7기-08,831833,[]
전기포트 나눔받고 싶어요!,/uploads/전기포트.jpg,필요해요,True,8949,전기포트에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,정글1기-01,429877,[]
침대 무료 나눔합니다!,/uploads/침대.jpg,나눔해요,True,0,침대에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,정글4기-08,909611,[]
TV 나눔받고 싶어요!,/uploads/TV.jpg,필요해요,True,11110,TV에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임테크랩7기-04,347480,[]
라디오 나눔받고 싶어요!,/uploads/라디오.jpg,필요해요,True,14179,라디오에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임랩6기-07,268698,[]
전기포트 나눔받고 싶어요!,/uploads/전기포트.jpg,필요해요,True,43846,전기포트에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,정글6기-06,727491,[]
선풍기 나눔받고 싶어요!,/uploads/선풍기.jpg,필요해요,True,35001,선풍기에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임랩7기-02,302952,[]
전자레인지 나눔받고 싶어요!,/uploads/전자레인지.jpg,필요해요,True,34193,전자레인지에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임테크랩1기-06,175153,[]
선풍기 무료 나눔합니다!,/uploads/선풍기.jpg,나눔해요,True,0,선풍기에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,정글4기-09,763569,[]
전자레인지 무료 나눔합니다!,/uploads/전자레인지.jpg,나눔해요,True,0,전자레인지에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,정글1기-04,151838,[]
신발장 나눔받고 싶어요!,/uploads/신발장.jpg,필요해요,True,9952,신발장에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임랩3기-06,254956,[]
전자레인지 무료 나눔합니다!,/uploads/전자레인지.jpg,나눔해요,True,0,전자레인지에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임랩4기-06,277320,[]
TV 무료 나눔합니다!,/uploads/TV.jpg,나눔해요,True,0,TV에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임테크랩7기-05,468355,[]
소파 나눔받고 싶어요!,/uploads/소파.jpg,필요해요,True,37347,소파에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,정글4기-08,240473,[]
의자 무료 나눔합니다!,/uploads/의자.jpg,나눔해요,True,0,의자에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,게임테크랩5기-03,470558,[]
프린터 나눔받고 싶어요!,/uploads/프린터.jpg,필요해요,True,32211,프린터에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,정글2기-07,407846,[]
선풍기 무료 나눔합니다!,/uploads/선풍기.jpg,나눔해요,True,0,선풍기에 대한 설명입니다. 상태가 양호하며 관심 있으시면 연락 주세요!,2025-03-12 19:16:37,정글8기-08,849356,[]
